Glimpse of Review,Review
Don't waste your money,"Worst product , it's scam By flipkart they built it but with the name of Nokia. You can't expect this kind of TV.Connectivity issues.Google assistant won't work if you update software. No patch available at the time of writing this review.After turn on TV it's scan for devices which is a bug.Remote battery die after every 2months.It’s been 2 years no update available for any of the bugs they have.READ MORE"
Awesome,"As expected from Nokia. Not compromised in quality. Sound quality is more than i expected. Saved my additional money for purchasing sound bar. Viewing angle is also good. Feels like watching movies on sony or lg tv ( As i had one before, so i can say it).READ MORE"
Must buy!,My review after a monthPlus1.Sound which is up to the mark no need to buy any hometheatre or sound bars....2.Well cleared pictures 3.Best in class with JBL soundMinus1. Loading OS takes 40secs minimum2. Chromecast not suitable for Iphone users 3. Pale white appearance while the TV is in black mode but not in pictures which doesn’t effect any quality of pictures 4.Wall mount tooks more gap between wall and the TVAnd overall my feedback is Go with this TV blindly..This tv is absolut...READ MORE
Useless product,faced power board failure within 1 week and multiple times raised complaint but didn't get any help from the nokia support teamPlease dont buy this product its so worseREAD MORE
Best in the market!,I am posting this review after using couple of month and till now everything is good. 4K view is amazing and sound is too good. Easy to use tv specially for internet connected smart tv.READ MORE
Utterly Disappointed,"This TV has screen bleeding issue please go for well established brands like LG, Sony and samsung.READ MORE"
Classy product,"This TV is must buy if you want a big TV within budget. 55inch TV is awesome powered by JBL sound system. Built in Netflix, prime, youtube and chromecast. You can easily mirror your smartphone in this TV. Looks big,awesome picture quality. Good timed delivery by flipkart and did free installation.READ MORE"
Worth the money,NiceREAD MORE
Horrible,"The LED gets switched off abruptly and gets back to OK on its own.On reporting the channel parter of FLIPART after weeks attended the complain and suggested me to get a high speed connection, which was an illogical suggestion by them.I believe NOKIA and FLIPKART don't carry such irresponsible image and should get the defective LED replaced.READ MORE"
Nice product,Worthfull shopping we like it.sound system by Jbl awesome. Thank you flipkartREAD MORE
Worth every penny,Good product And flipkart serviceREAD MORE
Mind-blowing purchase,Was Sceptical while buying this but after the installation and everything truly an amazing TV for the Price Range and the JBL Built in speaker are so awesome that you won't even need a external speakers as well. Suggestion if possible try and only get the 55inch with JBL speakers you won't regret it.READ MORE
Super!,Sound quality is amazing. Complete value for money.READ MORE
Fabulous!,"This TV is amazing and the sound quality is awesome the sound quality of this TV seems like a home theatre system thanks to JBL and it's been 4 months for me with this TV. It is the best and the body, bezels are extremely good, this is the best TV i have ever seen in my life, go for it,READ MORE"
Nice product,Good ProductREAD MORE
Just okay,"Great picture quality.Actually intelligent dimming. Feels good to eyes.More than required volume available with nice sound quality. 2 stars less - one for replacement within a month due to screen getting completely blank, and one for remote getting dysfunctional within another month.Both working fine since then.READ MORE"
Don't waste your money,Check online complaints for Nokia TV before buying. TV goes faulty within a few days. Develops spots.READ MORE
Great product,GoodREAD MORE
Worth every penny,Nice product some times I felt Sound clarity goes ups and downs.Really a good one and budget friendly and affordable oneREAD MORE
Excellent,Good smart tvREAD MORE
Wonderful,"Product is awesome only complain is with screen which shows white patches when screen is black, specially at the corners side.READ MORE"
Awesome,Good picture quality and sound and looksREAD MORE
Simply awesome,Good product and looking goodREAD MORE
Great product,Good product at a very good priceREAD MORE
Terrific purchase,Couldn't believe that I will get almost everything what I was looking for in this price.  I am not going so technical but overall this meets my all the expectations and I this it's a great TV!!READ MORE
Did not meet expectations,In 2 months I got issue of auto picture sleep. Only sound is on but the screen is black out. Sceen blavk out in 3 minutes.READ MORE
Brilliant,TV is okay and vision is also fine but sound quality is good but not best.READ MORE
Really Nice,Good quality but installation take timeREAD MORE
Worth every penny,Excellent WOrth MoneyREAD MORE
Just wow!,super ProductREAD MORE
Perfect product!,Worth at this priceREAD MORE
Simply awesome,It's goodREAD MORE
Highly recommended,"Value for money could not have been better than this , it's the Best priced 4k TV with excellent features, JBL sound bar and amazing colors . The overall look of TV is premium with metal panel and JBL sound bar , the Nokia brand has once again proved to be value for  moneyREAD MORE"
Mind-blowing purchase,REVIEWING AFTER  APPROX 2 MONTH USAGE. EVERYTHING IS FINE AFTER INITIAL ANDROID UPDATE. GOOGLE APP UPDATE IS ADVISED TO UNINSTALL  TO MAKE GOOGLE ASSISTANT WORK. JBL SOUND GIVES THEATRE EXPERIENCE. HOWEVER SOMETIMES TALKING VOICE SEEMS TO BE LOW. FULLY SATISFIED.READ MORE
Value-for-money,Excellent Display and Sound by JBL but only problem is to get Started is time taking like 2-3 mintsREAD MORE
Terrific purchase,GoodREAD MORE
Good choice,Picture quality and sound system goodREAD MORE
Wonderful,NiceREAD MORE
Delightful,Exlent Nokia 55 inchVerry happy tqREAD MORE
Good quality product,"The nice part of tv is it's connectivity and sound quality which I suppose is best in this price range. Looks are really good with narrow bezel. However negative side is the screen which is of course the most important item for a tv. The screen has a very high glare, difficult to eyes. Also there is no colour settings to adjust except few preset options. Initially thought that we will adjust to new screen and did not think of returning but after a longer use it seems the tv is not good enou...READ MORE"
Fabulous!,Good pic qualityREAD MORE
Good,"I have purchased nokia 55 inch tv and have been using it for a month now. The tv sometimes hangs and just shuts down without being turned of. Once the tv hanged and I had to switch of the main and switch it back on, for the tv to be restarted. I hope this will not be a start of trend. Have high hopes of Nokia.READ MORE"
Worst experience ever!,"Waste of Money... Very very worst.....Don't buy this TV in Online...The picture quality is very poor. After 3 months of usage, in the middle of the screen green color patch is formed. And service team support is very worst.READ MORE"
Super!,"Nice tv with goog build, picture quality. You can watch normal cable tv without much of a pixelated picture. Sound is amazing.The that I faced was with network connectivity but the same was resolved after engineer visit and a network update.READ MORE"
Worth every penny,Best product as expectedREAD MORE
Excellent,"Awww it's marvelous. I did online research for more than 15 days. Finally I got this super dear, which is pocket friendly. Picture quality, sound , connectivity all is good.READ MORE"
Super!,At 42K it’s beast compared to other tv brands. Excellent 4K technology and sound by JBL is big plus for this tvREAD MORE
Excellent,Loved it.READ MORE
Terrific purchase,Picture and sound quality is goodREAD MORE
Wonderful,Best tv for this price rangeREAD MORE
Really Nice,Nice  productREAD MORE
Just wow!,Amazing sound quality and pictures quality.READ MORE
Highly recommended,"💯 buy this product... amazing quality, picture, and all..READ MORE"
Terrific,NiceREAD MORE
Brilliant,Nokia 55 inch tv .pichture sound.superREAD MORE
Classy product,This is a fantastic purchase. Have been watching for a month now and no issues. The sound through the jbl speakers are excellent and installation was done very professionally. Pic quality also good. No connectivity issues as some have mentioned in previous commentsUpdate - now have two of these TV's. One is a year old and with the JBL speaker and the other with the Onkyo. The JBL speaker sound is way better than the Onkyo. Would suggest getting a Nokia tv with JBL speaker if availableREAD MORE
Awesome,Super sound and picture quality.we are very happyREAD MORE
Super!,Perfect picture quality and sound is awesome. Value for money... Best product from Nokia.. Much suggested to buy.READ MORE
Very Good,Working fine as of now .READ MORE
Simply awesome,"awesome tv,  sound Quality amazing.. no need to buy extra  sound barsREAD MORE"
Best in the market!,Very good productREAD MORE
Classy product,SUPER CUTE PRODUCTREAD MORE
Nice,"Look n feel is good of tv. concern is after 4 month tv has slow down, if it is connected with internet buffering start many time.READ MORE"
Perfect product!,Superb. 👌READ MORE
Delightful,Worth for money . Good picture quality and awesome sound by JBL.. no second thought we can trust NOKIA.. go for it..READ MORE
Waste of money!,Worst experience the customer support is very badREAD MORE
Simply awesome,Best tv for its price truly nokia the JBL speakers are amazingREAD MORE
Classy product,I very much like it but sometimes it gets switch off suddenly.READ MORE
Worth every penny,Product is very good Quality of picture Perfect and Sound has no comparision its just awesomeREAD MORE
Simply awesome,Very nice picture qualityREAD MORE
Mind-blowing purchase,This is an excellent product. Picture and sound quality is very good. Colors are rich. Dolby by JBL is very good.Since we hadn't heard about Nokia TV much we were a bit hesitant to order this product However now we are very happy with out choice. Nokia has done a very good job in this design. Installation  of the TV was also straight forward. We mounted it on the wall and the steps are simple. We didn't have to avail the default installation. Service personnel from Nokia followed up diligen...READ MORE
Terrific purchase,This is the Best TV on this Price Range! Good Picture Clarity.. Extraordinary Sound.. Credit to JBL Sound Bar.. Esthetic Looks.. Very Premium Finish..Overall Value for Money! Very Good Product!!READ MORE
Terrific,Overall worth of priceREAD MORE
Bad quality,Very bad product. Within one year I'm having black/white spots in my TV screen and no after sales support provided. I would suggest if flipkart team will be selling the Nokia TV then make an arrangement for the product support services.READ MORE
Wonderful,Nice tv  worth for  money  better colour quality .the input of video is high like hd are 4k it's give beautiful colour I am happy with this purchase nice connectivityREAD MORE
Highly recommended,Verry goodREAD MORE
Wonderful,"The audio and display quality is very good. However for me, netflix stopped working within one month. When I tried to play any title I kept seeing this error: Netflix error - tvq-pb-101 (5.6.1).  After quite some follow up and doing factory reset etc, Netflix is finally working. Everything else works as expected. Hope that Nokia and Netflix will have actual fix for the netflix issue, instead of just asking customers to do a factory reset.READ MORE"
Super!,"Top quality stuff. There is visible change in frame rate which makes everything look super fluid. 4k content is rendered beautifully. JBL soud fills up the entire room. Music is also very enjoyable. Few apps are optimized for the TV UI as well. Otherwise, inbuilt chromecast also works well.READ MORE"
Just wow!,Realy nice productREAD MORE
Worth every penny,Awesome picture quality and good delivery service. Thank you Flipkart for your efforts... loved it..READ MORE
Value-for-money,"Very very nice one, this is my first 55 inch and smart Tv , i don't know comparisons, but ivam enjoying this tv ..Only issue is difficulty in connecting with smart view...Other wise all goodREAD MORE"
Just wow!,It's a wonderful product. Just go for it. If you are buying a smart TV for the first time than this is the best.READ MORE
Decent product,Connectivity is awful. Its process works very slow but the good thing is its sound and picture quality and one more thing its 2.25 ram it not workingREAD MORE
Good quality product,"Good Smart tv at this price,i also wanted to buy 43"" in jbl sound but it is undeliverable to my locationREAD MORE"
Perfect product!,Amazing experience....loved it..excellent JBL sound.....worth every penny....just go for it!!!READ MORE
Simply awesome,"Awasome Tv from nokia brand,picture and sound quality is excellent but installation is very bad worst.READ MORE"
Excellent,Very nice tv..... Best in segment 👍👍 I also play games in this tv like beach buggy and that very very smoothly.... Whenever i use thi tv i only use hotstar and youtube which runs properly and smoothly... The only problem is it takes about 30 seconds to turn on and when it is connected to set top box it take 40 second to start and when it is started then gives rocking performance the sound output is best picture quality is very nice 4k also i played ps 4 and that was also an dream like exper...READ MORE
Good,This is okay product. Writing this review after 2-3 weeks use.Pro: picture quality is good.JBL sound bar does make difference.Cons:Tv hangs inbetween. Remote does not work. You need to go for hard reboot. Android version is old.READ MORE
Highly recommended,"Its a good tv no defective piece, no screen burnREAD MORE"
Fabulous!,Excellent LED tv. Sound Quality Superb. Vision quality Excellent. Overall Value for Money. Ultimate Product.READ MORE
Good choice,In this budget it's ok and if u want the best and have money go for sony braviaREAD MORE
Worthless,Don't buy this cheap TV flipkart is cheating with Nokia by selling defective products having screen white shadow problemREAD MORE
Decent product,"Nice product but there is one problem, display seems hazyREAD MORE"
Just wow!,I'm so happy for my and thanks to flip kartREAD MORE
Simply awesome,Super ❤️.... picture clarity and sound clarity are super ....but  no caring for shipping the product....first one was damage....we replaced it...... shipping facility is very poor .. ... product is good... I like itREAD MORE
Useless product,Item has Manufacturing defects.READ MORE
Did not meet expectations,Video display stopped working after 3 monthsREAD MORE
Classy product,"Here is the genuine feedback post 30 days.Sound , picture quality and performance- overall it's awesome worth a penny. JBL speaker added advantage ,no need to connect external ones.Feel good and enjoying the experience.  Thank youREAD MORE"
Highly recommended,Value for money..best TV in this segmentREAD MORE
Awesome,Better than Samsung and sony.READ MORE
Don't waste your money,Remote not working and no replacement till 20days. Hated to shop in flipkart.READ MORE
Great product,Everything is fine....jus display has minor white patches...or else great product...and I will update after using some days...but till now it's greatREAD MORE
Great product,"Awesome product. Never expected this quality of video and sound quality from Nokia. Earlier was using LG LED, but the quality performance what i was getting from Lg ...this is much better than that.Overall look is quite good. Sound is just amazing. Service was also good with proper installationREAD MORE"
Nice product,"Good one except for picture quality, not as expected. But value for moneyREAD MORE"
Pretty good,Pro'sSlim n near lookBright colorsAwesome sound outputAll available connectivity options availableCon'sRemote needs to be better - buttons placement n connectivityREAD MORE
Classy product,Nokia tv 55 inch sound quality & picture quality is very good. My child very happy. Good product 👍  pse vasool productREAD MORE
Really Nice,Nice productREAD MORE
Wonderful,Awesome product ..READ MORE
Terrific,Very good quality very good sound good picture qualityREAD MORE
Moderate,Disply not warkingREAD MORE
Worth the money,Value for money.... Excellent job JBL... Picture quality is also good but some problems in corner.READ MORE
Best in the market!,You will fall in love with thisREAD MORE
Mind-blowing purchase,Everything is good except USB Device Support...Any USB Device like Pendrive or Hard Disk not supported which is basic feature in any Smart TV...READ MORE
Awesome,Just one word Awesome.READ MORE
Classy product,Fast delivery and installation n picture quality is good Nice product in this budgetREAD MORE
Mind-blowing purchase,Awesome experienceREAD MORE
Highly recommended,"Value for money, nice deal no other brands gives you in such amount so much features in tv I like it, thank you Flipkart for amazing dealREAD MORE"
Wonderful,GoodREAD MORE
Just wow!,Best LEd and sound quality is awesomeREAD MORE
Perfect product!,NiceREAD MORE
Brilliant,I am so very Happy to have chosen this TV...it's looks like watching in a huge movie theaterREAD MORE
Very poor,Better than Mi...but not value for moneyREAD MORE
Worth every penny,Good product mja aa gyaREAD MORE
Good,GoodREAD MORE
Terrific purchase,Audio and video all are the best but there is some problems in connection crom cast & internetREAD MORE
Really Nice,Classy product in this priceREAD MORE
Highly recommended,Super TV at this price. Using this from last 1 year. No issues and problems till now. Clearity is very good and Sound by JBL is just amazing. Just go for it.READ MORE
Must buy!,One word only best TV in this price😍😍😍READ MORE
Good choice,Excellent sound with good picture quality and perfect designVery good television with good sound quality and descent picture as well. Connectivity issue was there in the beginning while installing but it is fine now. Worth a buy from a trustable brand like nokiaREAD MORE
Just wow!,Super excellentREAD MORE
Best in the market!,"JBL sound designing is excellent,Picture quality is awesome and solid manfacturedREAD MORE"
Must buy!,OkREAD MORE
Decent product,In between outer bazzle and tv screen gap is not maintain thats why at the peripheri of tv screen bleeding problem of that Nokia tv and overall best tv in this range I got Google mini at just 499 if u ok with screen bleeding go for itREAD MORE
Worst experience ever!,"Product was defective, what is really horrible was the replacement process of Flipkart. Please pray that your product works without any issue. When it comes, we are finished. Working with the unstructured Flipkart processes is a nightmare. Be prepared to wait, fight and spend a lot of effort. You need a lot of good luck or just be prepared to  lose your hard earned money due to Flipkart. And never buy this complete protection. I don't know how this works, but one thing I know is Flipkart proc...READ MORE"
Does the job,Had problems but fixed nowREAD MORE
Classy product,Just buy it blindlyREAD MORE
Really Nice,Good buyREAD MORE
Worthless,Using for one month. Display issues came. Very cheap qualityREAD MORE
Must buy!,"This is by far the best in its class tv... I am a big fan now... When the tv came n was unboxed, i was in awe... This the best tv you can spend your money on... The picture quality, connectivity, the design and the sound,..Its just top notch... its alway better than i expected... I am in love with my new nokia tv.READ MORE"
Worth every penny,Nice tv I like it sound and picture quality awesomeREAD MORE
Terrific purchase,"I would give 4/5 after 20 days use ..!! Everything good in it, picture, JBL sound .. value for this price segment.. Nokia brand good 👍 , Got delivered within 2 days , quick delivery without damage 👍 ... 4k ultra HD videos are stunning in it , sound system with dts surround, JBL speakers superb 🔥...!! Worth the value for money 💰..!! Must go for this price range.. 👍❤️ About installing:- Installation takes 2 days time , but I got installation on the delivery day evening itself... Good i...READ MORE"
Pretty good,"Good quality, good picture, best Sound JBLREAD MORE"
Worth every penny,"The quality is top notch... Usually if it's TV i only prefer sony or samsung just because of the picture quality, reliability.There are many affordable TVs which emerged in market which provide seamless specs in paper and very low price. But, i always thought that there might be some compromise with quality and I've seen those things in various brand TV as well.And even before buying this nokia TV i had lot more questions and doubts if this can stand with sony or samsung standards.I love n...READ MORE"
Mind-blowing purchase,Nice brand and nice specification specially no need to attach any sound bar... Because sound is too good in this tvREAD MORE
Pretty good,Screen bleeding white patches is more  And worsted Good display and soundREAD MORE
Perfect product!,"I wish for value for money ,I had option to give better rating then 5. It's a very gud picture quality tv, nokia stood by its name . Review given after 10 days of use.Flipkart has done very gud job in getting the tv delivered quickly. Thanq sooo much for keeping gud products.READ MORE"
Good choice,Good product... Value for moneySound is awesome. Picture quality is also superbREAD MORE
Fabulous!,"TV is Good, worth buying. Enjoying and experiencing the Big TV at home.But I had a bad experience with Flipkart, they do not even care of the customers, they look for money only, that's what I sensed with this deal. No one is not considering the customer's request and also their concerns.I Spoke to  'N' number of executives but no one is not given the satisfactory service to me, this was not I expected from Flipkart.I was totally disappointed with the kind of post-sale service Flipkart is ...READ MORE"
Must buy!,Awesome picture quality and sound quality.  Today is first day. I will give review more after 2weeksREAD MORE
Worth every penny,Amazing TvREAD MORE
Wonderful,Though T V is awesome its installation procedure was quite lengthy . But OKREAD MORE
Value-for-money,everything is good..screen bleeding issue..but no effect on picture quality..READ MORE
Worst experience ever!,Furod prod and furod managementREAD MORE
Pretty good,Picture is good.Sound is excellent.Design is good.Service by jeevas is good.One problem is Backlight visible in dark mode.So solve this issue.Otherwise tv is excellent.READ MORE
Simply awesome,Sound quality is outstanding and tv satisfies all the parameters in this range of price.READ MORE
Classy product,Simply the best by Nokia.Thank you Team nokia for having such a power pack tv at this price.Fully satisfied with quality and service.READ MORE
Terrific purchase,Sound quality  and picture quality osam . I have very long time search a led but not any product to convenience to me. But thnks to NOKIA this product also happiness to me.READ MORE
Don't waste your money,"We have broadband connection, still the tv gives error in connection everytime we switch it on.READ MORE"
Good choice,GoodREAD MORE
Good quality product,Awesome TV.. only one complaint against flipkart installation.. really badREAD MORE
Just wow!,Great value for money product.Plus it's not ChineseREAD MORE
Great product,Assume performance Sound quality and picture superREAD MORE
Brilliant,Awesome Quality and Value for money.... Thank you Flipkart and jeevees Installation team....READ MORE
Highly recommended,The product is very good..... Worth for money.... Very good.... Product..... Enjoying.... .........READ MORE
Must buy!,Am happy with this product :)READ MORE
Worthless,Don't buy this TV panel is very delicate if you touch the TV also panel will break. Customer support also worst.READ MORE
Just wow!,Value for money. Awesome sound by JBL. Good picture quality. You won't get better TV at this price range. Trusting Nokia never disappoints. Overall satisfied.READ MORE
Classy product,GoodREAD MORE
Worth every penny,Great tv from nokia .thanks to flipkartREAD MORE
Perfect product!,BestREAD MORE
Wonderful,AwesomeREAD MORE
Highly recommended,Good product.READ MORE
Nice product,Remote had an issueREAD MORE
Wonderful,Simply superb worthy oneREAD MORE
Worth every penny,Very reliable product by nokia!Very nice services by flipkart !It gives more than we expected...Really it's very very very amazing smart tv.READ MORE
Worth every penny,Really great service thank you so much Flipkart team 5StarREAD MORE
Must buy!,GoodREAD MORE
Fair,I know nokia is best in technology terms but I quite disappointed coz remote functionality stopped working after 12 days of using the tv. JBL sound bar not that much sound i preffer to buy sansui tv same size and in same price can buy bose solo barREAD MORE
Super!,"Value for money, good initiative by Nokia.READ MORE"
Wonderful,"Over all very good product ,mirror casting is slight difficultREAD MORE"
Wonderful,Excellent sound system & sleek in design but trendy one.READ MORE
Worth every penny,Those who wants good 4k tv. Go for this one. Very very good.  I will not write pros and cons. Because these things are written by people who always find bad in good product. Tv is ultimate. You can trust nokia as you had trusted many years ago. Flipkart service - Unprofessional delivery boys as well as unprofessional customer careREAD MORE
Very Good,There is no doubt on picture quality and the kind of sound quality this TV has. But I am little bit unsatified with fit n finish. The screen having the silver panel has some gap which makes it not having perfect finish. But other than this I am totally satisfied with this product. It's really a value for money at this price level.READ MORE
Not recommended at all,Worst productREAD MORE
Terrific,Nice productREAD MORE
Delightful,"Video - amazing, clarity is super.Audio - jbl what can I say it's classyConnectivity- here comes the issue, WiFi stays connected but when u off the TV and again on it apps doesn't get connected .. there needs to be some circus switch off restart extra and then it gets connected. Only disadvantage.Everything comes with cons, but this has more pros than cons.I'm in love with the TV n for this price it's all worth to buyREAD MORE"
Terrific purchase,Very nice product made by Nokia thanks FlipkartREAD MORE
Terrific purchase,Good product at this price.READ MORE
Best in the market!,Wow experience is very good beautiful pictures and quality is excellent bole to ekdum jabardast hREAD MORE
Terrific,Great Smart TV... Nokia is better than other... Love you Nokia...READ MORE
Fabulous!,ExcellentREAD MORE
Good,Panal is week losse from lower sideREAD MORE
Wonderful,Best deal I ever had in every terms it's just awesomeREAD MORE
Value-for-money,Tv is great .Remote sometimes give lates response rest eveything is fineREAD MORE
Classy product,Good productREAD MORE
Excellent,Only issue with connectivity is when we switch off and switch on the power it always disconnects.  I need to set the date and  time every time. I got replacement. That too have the same issue. Jeeves team supported me well on the issue resolution...READ MORE
Best in the market!,So goodREAD MORE
Perfect product!,nice productREAD MORE
Amazing,Really amazed by their quick delivery.  I must say it is best decision to by Nokia TV. The device is feature loaded. Dolby vision is astonishing. Amazing picture quality with Dolby Vision and Intelligent dimming. JBL speakers doing their job perfectly.   Flipcart delivered the Product in less than 24 hrs. Now the next surprise comes with wall mounted and installation the person is bharath kumar amazing those work  . Thank you  support the team  delivery team and  wall mounted and installatio...READ MORE
Just okay,"Starting with picture quality,Good quality, but this Tv had bleeding issue which isn't that noticeable but full black screen would disappoint you.Sound pretty clean but zero effect on bass expected more from JBL.Operating system function smoothly.I wouldn't recommend this model, as I feel I have overpaid for the scam which flipkart is running during festive season.READ MORE"
Nice,White colour appears  at corners of the screen.READ MORE
Decent product,Google assistance doesn't work at all. Need to improve quality of features thoughREAD MORE
Best in the market!,Excellent entertainment by NokiaREAD MORE
Good choice,The quality of the product is very good.One can purchase it without any doubt. I am using it from a week it's amazing like a cinema at your RoomREAD MORE
Worth the money,"Loves the looks and picture quality also the sound. Don't think i need a sound bar in future.it offers good sound. Picture upscaling is very good,works good with my normal cable channel input. Even when I'm watching utube 480p videos are impressive to eyes. It'll take some seconds to boot. Before doing the software update HDR videos had flickering issues,after update got resolved.READ MORE"
Classy product,"Great experience, picture and sound quality very good, infact everything fantastic except Wifi receiver that is no so strong.READ MORE"
Value-for-money,"Picture and sound quality is awesome,  little improvement required at connectivity section, I feel slow sometimes.as whole TV is value for moneyREAD MORE"
Very poor,I purchased this Nokia 55 inch TV on October 2020 and the display started showing grey patches and after few months several days after  complant they pickedup my TV and its been more than two weeks I have no clue about the status of the TV the service has been very pathetic By Jeevs Consumer Ltd at Bhubaneswar you can Google it its reviews are very pathetic ( its a Third Paty Service provider not Nokia that take care about the services) and also the customer care provided by Nokia dont respon...READ MORE
Must buy!,This the best smart available in thr market. Considering the price..The picture and sound quality is great...READ MORE
Absolute rubbish!,after 20 days not working don't wast your moneyREAD MORE
Must buy!,Excellent picture quality and best JBL quality No words can explain the viewing experience 👌👌👌👌Nokia and JBL the combination is awesome MUST BUY !!!!! Delivered in time and installed with care Great survice by flipkart 🙏READ MORE
Perfect product!,Excellent 4k picture quality and good sound with JBL speakers built in. Has some issue with Google assistant but it's great overall. For the current price it's a great deal.READ MORE
Brilliant,Its nice TV. Great picture and sound qualty is nice. Valud for money.READ MORE
Very Good,Good productREAD MORE
Perfect product!,Best TV from Nokia sound was super but I bought TV stand from installation boy it cost 2300 and installation is done on time thank u FlipkartREAD MORE
Best in the market!,Excellent quality built quality also superbbbREAD MORE
Delightful,"Great Tv in this range. U will find very little difference compare to big brands .Nokia is just the Brand-name used by flipkart. It's manufactured by flipkart itself. But I Think , VU is comparable. MI is far behind from it. Flipkart deliver very quick. And installed immediate by technician. Exceptional service.READ MORE"
Just wow!,Used most of the TV brands but its awesome experience.READ MORE
Classy product,"LOVE this tv... Excellent product from Nokia and Flipkart... JBL could have done something better, however, it's really worth for money... Got it for 35K on the sale along with the card discount... Don't think too much and just go for it without  any hesitation...READ MORE"
Simply awesome,Better if you want to experience sound quality you may but external soundbars and if you want to wall mount this tv don't use the stand given inside the box better buy a movable wall mount standREAD MORE
Super!,Good product. Clear picture clarity. Biggest advantage is front speakers which delivers sound to front.READ MORE
Must buy!,Everything as if now is very good from delivery to installation and product Happy with Nokia quality. Connectivity is also seamless and picture quality is upto standardREAD MORE
Delightful,Nice sound qualityREAD MORE
Terrible product,Purchase a new tv it came in defective and is not turning on flipkart is not accepting the defect and what us to.purchase a new remote and tryREAD MORE
Terrific purchase,This Price Range Amazing Picture & Sound QualityREAD MORE
Awesome,Awesome tv we have no words to sayREAD MORE
Simply awesome,Its very good tv absolutely 5 start for value of Money.READ MORE
Value-for-money,Quality is good but sometimes connectivity ProblemREAD MORE
Excellent,"Value for money , awesome quality, best sound qualityREAD MORE"
Great product,Excellent picture clarity & superb sound by JBL.... Perfect value for money ....& Flipkart assistance is simply superb JEeves executive did his job timely...READ MORE
Awesome,Excellent build quality and very very pleasant sound system and Brand like NOKIA is enough for qualityREAD MORE
Great product,GoodREAD MORE
Perfect product!,"Very very happy with this TV good pitcher quality,I very lucky for this tvFlipkart is giving best offer and best item.READ MORE"
Fabulous!,"Picture and sound good , but connectivity is not good .After every restart you need to connect the wifi manually again , automatic connectivity with wifi is not working correctly .I purchased it in 42000 RS but by connectivity feature I am little disappointed .READ MORE"
Awesome,"I have ordered nokia 55"" led TV and get my delivery on time by  flipkart. Thanks for it...At the time of unboxing I found all the accessories mentioned in order details in the box. The look of nokia led is premium like sony and lg. It is best looking led tv in this price segment.After installation I found the picture quality of this led tv nice and sound quality by JBL is unbelievable. The connectivity with Wi-Fi is also good. I found no negative points in this TV.It will be good decisio...READ MORE"
Awesome,"A nice  package in a small budget. Picture quality is suberb, sound quality is more what I expected. JBL sound makes you to sit in front of TV even you don’t want to.I have purchased it with 3 years complete TV protection, still it costs way lesser than most of the brands.READ MORE"
Nice product,As of now working great. Much better deal and worth of a buy. Bt still do search for more options because the best part of this is Sound quality by JBL. One will not regret buying this Smart TV..READ MORE
Worth the money,"It's just great, value for moneyREAD MORE"
Terrific purchase,Best TV at this range...Nokia with JBL has taken the experience to next levelREAD MORE
Awesome,"Overall tv performance was excellent.and the delivery was also in time,on the day of delivery jeevas agent was came and scan the product and he said I come again tomorrow untill now he doesn't shown up and he blocked our numbers.so, jeevas don't encourage such type of employees,they will bring bad name to your company.READ MORE"
Don't waste your money,"Not good as the reviews are there. TV not connecting to wifi, Google Assistant not working. Support is also not good. Don't Buy this TV. Also, there is no RETURN only exchange. I did a mistake in purchasing this TV.READ MORE"
Really Nice,Sound is good and very clear. Picture quality is really amazing....Hangs sometimes. Overall value for money with suprb picture quality.READ MORE
Super!,Best TVREAD MORE
Great product,GoodREAD MORE
Good,"Display and sound system are fabulous. But connectivity is bad. Sometimes TV is automatically switching off. And you have to place the remote straight to the TV to access it. Can't able to connect pendrive. There is no big issues. If you are taking these things light, then go for it.READ MORE"
Good choice,Excellent led tv in this price range. Also quick installation done by Jeeves. Thanks FlipkartREAD MORE
Perfect product!,Value for money and looks very premium. Delivered on time and the guy who installed the TV at my mother in law house is very good and explained everything about TV.READ MORE
Simply awesome,Velue for money 💰💰READ MORE
Highly recommended,Good product value for moneyREAD MORE
Simply awesome,Nice  tv nokiaREAD MORE
Worth every penny,Amazing w.r.t rangeREAD MORE
Utterly Disappointed,"Poor performance, Not up to the markREAD MORE"
Pretty good,"Picture quality is superb, sound is amazing, theater likes experience.READ MORE"
Highly recommended,Audio not up to the range..can say just ok.. picture clarity is good..READ MORE
Brilliant,Best In All Almost Satisfied Full Piasa WasoolREAD MORE
Horrible,Within 24 hours of installation of tv it suddenly stopped switching on. Nothing to do with remote sensor.READ MORE
Perfect product!,NiceREAD MORE
Fabulous!,Jusy loved itREAD MORE
Simply awesome,Awesome TV for the priceREAD MORE
Awesome,AwesomeREAD MORE
Awesome,Connectivity lag sometimes but picture and sound quality beats to Top brandsREAD MORE
Value-for-money,Overall a very good TV. Value for moneyImprovements required in processing speed.READ MORE
Just wow!,Best among all other variant.READ MORE
Just wow!,Good nice TVREAD MORE
Not recommended at all,Dont buy Nokia TV no support from Nokia brand both flipkart and Nokia no supportDisplay issue for past 20 days iam chasing No support just escalating the daysREAD MORE
Just wow!,It's fabulousREAD MORE
Excellent,Good product.good picture quality.good soundREAD MORE
Classy product,"Excellent product at this price range, super picture clarity and though it comes with JBL the sound is not that great, but when compared to other Tv in this segment it is the best and no one can match as it is 70% high volume, Overall excellent product from Nokia which you can trustREAD MORE"
